index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
68	0.12	156	50	-324.9111633300781	113	22	-71.91896057128906	1
69	0.12	142	51	-334.6360778808594	104	19	-84.99470520019531	1
70	0.12	208	63	-385.23345947265625	160	24	-76.1915512084961	1
71	0.12	95	28	-194.59324645996094	68	13	-52.882102966308594	1
72	0.12	158	53	-361.3627014160156	113	21	-87.72257232666016	1
73	0.12	147	48	-323.61444091796875	109	21	-94.5743179321289	1
74	0.12	198	58	-389.8485107421875	146	26	-113.10757446289062	0
75	0.12	91	31	-196.33619689941406	63	13	-47.77909851074219	1
76	0.12	119	45	-250.91380310058594	83	17	-68.21678161621094	1
77	0.12	158	47	-291.44207763671875	118	20	-86.67694854736328	0
78	0.12	66	25	-160.50384521484375	49	10	-38.797603607177734	1
79	0.12	58	21	-124.27924346923828	38	9	-25.893600463867188	1
80	0.12	53	22	-108.13780212402344	35	10	-34.9570198059082	1
81	0.12	71	22	-173.591552734375	56	9	-50.624473571777344	0
82	0.12	229	72	-383.7716064453125	164	29	-98.1109390258789	1
83	0.12	211	65	-409.29302978515625	158	28	-123.33360290527344	1
84	0.12	70	24	-176.17098999023438	51	10	-44.31679153442383	1
85	0.12	113	36	-259.08538818359375	82	17	-108.8097915649414	1
86	0.12	91	32	-205.2411346435547	62	13	-39.58962631225586	1
87	0.12	128	40	-257.6772155761719	97	16	-71.25048828125	1
88	0.12	164	52	-316.9104309082031	116	25	-94.81549835205078	1
89	0.12	72	27	-193.72056579589844	48	12	-64.3943099975586	0
90	0.12	149	50	-331.1622314453125	108	22	-92.32077026367188	0
91	0.12	64	23	-192.01327514648438	44	11	-61.57594299316406	0
92	0.12	247	78	-423.7568054199219	172	33	-116.7082290649414	0
93	0.12	100	38	-228.65428161621094	66	17	-69.6329345703125	0
94	0.12	74	25	-196.3535614013672	49	13	-68.36009216308594	0
95	0.12	63	23	-201.03843688964844	49	11	-64.49839782714844	1
96	0.12	66	23	-186.08038330078125	46	11	-59.310157775878906	0
97	0.12	77	29	-206.38856506347656	55	13	-63.386878967285156	0
98	0.12	159	55	-376.6019287109375	112	25	-92.51009368896484	0
99	0.12	90	33	-246.887939453125	65	16	-91.81719207763672	0
0	0.0	68	25	-159.7115478515625	48	11	-30.22695541381836	1
1	0.0	70	27	-181.81285095214844	52	11	-33.568328857421875	1
2	0.0	96	34	-208.91049194335938	65	15	-46.63685989379883	1
