index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
75	0.12	63	13	-51.76068878173828	91	31	-202.11077880859375	0
76	0.12	83	17	-72.48033142089844	119	45	-256.03448486328125	0
77	0.12	118	20	-90.80442810058594	158	47	-297.0467224121094	0
78	0.12	49	10	-43.10844802856445	66	25	-166.6770782470703	0
79	0.12	38	9	-29.130300521850586	58	21	-129.45755004882812	1
80	0.12	35	10	-38.84113311767578	53	22	-112.83944702148438	1
81	0.12	56	9	-55.68692398071289	71	22	-180.82452392578125	0
82	0.12	164	29	-101.61489868164062	229	72	-388.4517517089844	0
83	0.12	158	28	-127.58648681640625	211	65	-414.8240051269531	0
84	0.12	51	10	-49.24087905883789	70	24	-183.51144409179688	0
85	0.12	82	17	-114.53662109375	113	36	-264.97369384765625	0
86	0.12	62	13	-42.88875961303711	91	32	-211.10516357421875	0
87	0.12	97	16	-76.33981323242188	128	40	-263.6697082519531	1
88	0.12	116	25	-98.60811614990234	164	52	-322.02191162109375	0
89	0.12	48	12	-69.34771728515625	72	27	-199.96961975097656	0
90	0.12	108	22	-96.334716796875	149	50	-336.9720764160156	0
91	0.12	44	11	-66.707275390625	64	23	-199.39840698242188	0
92	0.12	172	33	-120.14082336425781	247	78	-428.4652099609375	0
93	0.12	66	17	-73.50143432617188	100	38	-233.85096740722656	0
94	0.12	49	13	-73.24295043945312	74	25	-202.898681640625	0
95	0.12	49	11	-69.4598159790039	63	23	-209.07997131347656	1
96	0.12	46	11	-64.25267028808594	66	23	-192.97225952148438	1
97	0.12	55	13	-67.91451263427734	77	29	-212.64276123046875	0
98	0.12	112	25	-95.81402587890625	159	55	-382.3957824707031	0
99	0.12	65	16	-96.91814422607422	90	33	-253.21839904785156	0
0	0.0	48	11	-33.24964904785156	68	25	-165.8542938232422	0
1	0.0	52	11	-36.92516326904297	70	27	-187.87327575683594	0
2	0.0	65	15	-49.96806335449219	96	34	-215.05491638183594	0
3	0.0	35	12	-31.822059631347656	53	21	-147.22860717773438	1
4	0.0	46	10	-46.22163009643555	63	21	-169.43887329101562	0
5	0.0	63	12	-37.50990295410156	84	30	-211.111328125	0
6	0.0	93	19	-60.198726654052734	131	45	-292.3224792480469	0
7	0.0	60	12	-47.809242248535156	84	27	-240.02206420898438	0
8	0.0	64	11	-32.82652282714844	85	28	-210.45982360839844	0
9	0.0	69	15	-38.105186462402344	103	36	-255.04136657714844	0
10	0.0	83	17	-48.80938720703125	117	37	-256.0057373046875	0
11	0.0	65	13	-40.33456039428711	95	29	-220.44224548339844	0
12	0.0	70	11	-41.83315658569336	95	25	-201.55471801757812	0
13	0.0	65	12	-39.568504333496094	89	32	-219.23953247070312	1
14	0.0	74	17	-51.869380950927734	112	39	-246.60125732421875	0
15	0.0	66	12	-33.886878967285156	90	28	-217.81243896484375	0
16	0.0	54	10	-37.58489990234375	73	28	-201.8880157470703	0
17	0.0	83	18	-62.354217529296875	122	36	-249.3925323486328	0
18	0.0	91	20	-54.796051025390625	129	44	-293.9747619628906	0
19	0.0	56	14	-41.927371978759766	85	32	-198.9335174560547	0
20	0.0	146	31	-89.6435546875	210	73	-465.66070556640625	0
21	0.0	29	8	-50.408836364746094	44	16	-129.35012817382812	1
22	0.0	97	24	-55.04576110839844	142	56	-320.72723388671875	0
23	0.0	82	17	-52.557621002197266	115	45	-274.69683837890625	0
24	0.0	114	17	-69.44212341308594	149	52	-340.9959716796875	0
25	0.0	63	13	-56.95818328857422	89	28	-194.74957275390625	0
26	0.0	160	29	-70.51445770263672	218	67	-415.0531311035156	0
27	0.0	69	13	-48.51970672607422	97	35	-243.33892822265625	0
28	0.0	57	12	-37.52216720581055	81	29	-201.44931030273438	0
29	0.0	167	33	-113.69154357910156	234	82	-453.8817138671875	0
30	0.0	85	17	-54.423858642578125	121	41	-261.74322509765625	0
31	0.0	151	31	-98.03010559082031	217	77	-451.66455078125	0
32	0.0	141	26	-88.79310607910156	195	66	-418.94036865234375	0
33	0.0	138	29	-88.97505950927734	196	68	-412.6986083984375	0
34	0.0	60	10	-42.79570007324219	80	25	-197.971435546875	0
35	0.0	87	19	-57.8482780456543	129	43	-260.7279052734375	0
36	0.0	49	10	-45.79396057128906	68	22	-170.23428344726562	0
37	0.0	90	20	-65.83548736572266	128	46	-311.5128479003906	0
38	0.0	68	16	-47.786643981933594	97	37	-245.26339721679688	0
39	0.0	72	16	-64.2737808227539	102	36	-262.48468017578125	0
40	0.0	116	21	-71.89198303222656	160	53	-334.8602294921875	0
41	0.0	143	25	-88.74264526367188	199	64	-432.82220458984375	0
42	0.0	148	31	-109.70048522949219	210	73	-411.41925048828125	0
43	0.0	66	14	-42.131256103515625	94	34	-234.76260375976562	0
44	0.0	62	15	-57.41542053222656	95	35	-198.12948608398438	0
45	0.0	108	20	-74.63162231445312	148	52	-330.9993896484375	0
46	0.0	101	22	-72.17903900146484	137	44	-305.7973937988281	0
47	0.0	76	14	-65.6975326538086	106	35	-230.38624572753906	0
48	0.0	67	14	-50.974021911621094	94	37	-227.95693969726562	0
49	0.0	44	10	-43.431724548339844	63	22	-168.36196899414062	0
50	0.0	154	27	-128.63536071777344	208	75	-481.1802978515625	0
51	0.0	128	27	-70.73634338378906	179	63	-390.05859375	0
52	0.0	84	17	-67.94120788574219	116	38	-304.52581787109375	0
53	0.0	47	10	-37.4497184753418	67	24	-172.72482299804688	0
54	0.0	106	24	-65.10132598876953	148	53	-291.3544616699219	0
55	0.0	72	17	-72.04989624023438	101	37	-239.471435546875	0
56	0.0	120	21	-79.7622299194336	170	52	-339.4224853515625	0
57	0.0	156	27	-97.99906921386719	214	67	-410.9076843261719	0
58	0.0	144	28	-82.86515808105469	199	69	-411.8138122558594	0
59	0.0	140	25	-84.5462417602539	193	56	-392.2991027832031	0
60	0.0	65	13	-44.76487731933594	94	35	-236.54652404785156	0
61	0.0	74	14	-50.877777099609375	100	36	-222.84368896484375	0
62	0.0	125	22	-101.94129943847656	165	54	-369.7110900878906	0
63	0.0	78	15	-59.99797821044922	104	31	-226.19247436523438	0
64	0.0	118	20	-86.06822967529297	157	52	-347.8275451660156	0
65	0.0	53	11	-31.878488540649414	75	28	-165.0746307373047	0
66	0.0	53	11	-38.72937774658203	75	26	-177.2174835205078	0
67	0.0	140	27	-86.46421813964844	196	61	-377.2905578613281	0
68	0.0	113	22	-75.18800354003906	156	51	-343.1326904296875	0
69	0.0	104	19	-89.46810913085938	142	51	-333.7784423828125	0
70	0.0	160	24	-79.36620330810547	208	63	-399.1761779785156	0
71	0.0	68	13	-57.288944244384766	95	30	-215.74696350097656	0
72	0.0	113	21	-91.37767791748047	158	52	-369.76910400390625	0
73	0.0	109	21	-99.0778579711914	147	49	-341.80218505859375	0
74	0.0	146	26	-117.63187408447266	198	60	-407.294189453125	0
75	0.0	63	13	-51.76068878173828	91	31	-211.5794677734375	0
76	0.0	83	17	-72.48033142089844	119	46	-268.43035888671875	0
77	0.0	118	20	-90.80442810058594	158	49	-303.4272766113281	0
78	0.0	49	10	-43.10844802856445	66	25	-165.59732055664062	0
79	0.0	38	9	-29.130300521850586	58	19	-143.27914428710938	1
80	0.0	35	10	-38.84113311767578	53	22	-117.6146469116211	1
81	0.0	56	9	-55.68692398071289	71	22	-180.3300323486328	0
82	0.0	164	29	-101.61489868164062	229	77	-417.4417724609375	0
83	0.0	158	28	-127.58648681640625	211	68	-439.7784118652344	0
84	0.0	51	10	-49.24087905883789	70	23	-183.0072479248047	0
85	0.0	82	17	-114.53662109375	113	38	-272.7378845214844	0
86	0.0	62	13	-42.88875961303711	91	32	-212.7232666015625	0
87	0.0	97	16	-76.33981323242188	128	41	-280.7801818847656	0
88	0.0	116	25	-98.60811614990234	164	51	-341.4888610839844	0
89	0.0	48	12	-69.34771728515625	72	27	-203.13668823242188	0
90	0.0	108	22	-96.334716796875	149	50	-341.9931640625	0
91	0.0	44	11	-66.707275390625	64	23	-202.75115966796875	0
92	0.0	172	33	-120.14082336425781	247	78	-452.5245056152344	0
93	0.0	66	17	-73.50143432617188	100	39	-235.82049560546875	0
94	0.0	49	13	-73.24295043945312	74	25	-203.090576171875	0
95	0.0	49	11	-69.4598159790039	63	23	-209.07997131347656	1
96	0.0	46	11	-64.25267028808594	66	25	-200.07579040527344	0
97	0.0	55	13	-67.91451263427734	77	30	-213.31661987304688	0
98	0.0	112	25	-95.81402587890625	159	56	-387.8894348144531	0
99	0.0	65	16	-96.91814422607422	90	33	-260.71588134765625	0
