index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
31	rev	154	47	-129.78582763671875	154	47	-140.12200927734375	0
32	rev	185	65	-221.826416015625	185	65	-229.97463989257812	0
33	rev	156	49	-156.15182495117188	156	49	-149.2126922607422	0
34	rev	176	56	-185.71328735351562	176	56	-186.9047088623047	0
35	rev	174	55	-168.97369384765625	174	55	-174.64602661132812	0
36	rev	109	36	-129.31178283691406	109	36	-122.00948333740234	0
37	rev	172	62	-212.5104217529297	172	62	-207.07008361816406	0
38	rev	141	41	-152.10678100585938	141	41	-141.81236267089844	0
39	rev	170	62	-209.6518096923828	170	62	-210.2965545654297	0
40	rev	200	62	-204.10279846191406	200	62	-211.86151123046875	0
41	rev	165	52	-171.0677032470703	165	52	-178.52256774902344	0
42	rev	119	39	-133.89610290527344	119	39	-132.50033569335938	0
43	rev	163	59	-180.58721923828125	163	59	-175.2759552001953	0
44	rev	168	55	-183.4883270263672	168	55	-185.74464416503906	0
45	rev	107	33	-132.23574829101562	107	33	-135.50892639160156	0
46	rev	98	31	-113.8587875366211	98	31	-104.89716339111328	0
47	rev	101	33	-117.19314575195312	101	33	-121.11767578125	0
48	rev	124	37	-135.49859619140625	124	37	-131.98646545410156	0
49	rev	204	72	-226.2564239501953	204	72	-209.04466247558594	0
50	rev	145	50	-150.7604522705078	145	50	-144.230224609375	0
51	rev	134	45	-152.71853637695312	134	45	-146.400634765625	0
52	rev	182	58	-178.061279296875	182	58	-171.818359375	0
53	rev	199	68	-226.46585083007812	199	68	-233.7074737548828	0
54	rev	99	35	-121.29706573486328	99	35	-123.45710754394531	0
55	rev	112	39	-141.90658569335938	112	39	-133.5289764404297	0
56	rev	99	36	-126.6588363647461	99	36	-114.02173614501953	0
57	rev	101	38	-112.56201934814453	101	38	-118.9626693725586	0
58	rev	89	30	-97.5777587890625	89	30	-103.21253967285156	0
59	rev	165	57	-178.60328674316406	165	57	-183.8537139892578	0
60	rev	101	39	-141.49197387695312	101	39	-148.67709350585938	0
61	rev	152	50	-157.56126403808594	152	50	-150.98126220703125	0
62	rev	93	33	-122.75965118408203	93	33	-123.4395751953125	0
63	rev	155	60	-184.57664489746094	155	60	-179.45138549804688	0
64	rev	176	63	-218.14541625976562	176	63	-205.66268920898438	0
65	rev	142	48	-169.137451171875	142	48	-158.48748779296875	0
66	rev	138	45	-140.42938232421875	138	45	-140.82284545898438	0
67	rev	156	53	-167.20010375976562	156	53	-160.91461181640625	0
68	rev	182	63	-201.644775390625	182	63	-204.00079345703125	0
69	rev	126	46	-146.46055603027344	126	46	-146.78692626953125	0
70	rev	116	38	-132.2886199951172	116	38	-136.5789337158203	0
71	rev	167	57	-196.9936981201172	167	57	-199.89260864257812	0
72	rev	193	66	-215.2674102783203	193	66	-208.9423065185547	0
73	rev	193	63	-218.55287170410156	193	63	-217.5967559814453	0
74	rev	145	55	-183.02471923828125	145	55	-189.13253784179688	0
75	rev	116	42	-134.330322265625	116	42	-138.4244384765625	0
76	rev	116	43	-139.14964294433594	116	43	-138.85882568359375	0
77	rev	197	68	-230.0193634033203	197	68	-218.38743591308594	0
78	rev	135	44	-143.1625213623047	135	44	-152.15382385253906	0
79	rev	150	49	-177.99658203125	150	49	-174.1570587158203	0
80	rev	125	37	-150.3054962158203	125	37	-134.57229614257812	0
81	rev	178	63	-211.65390014648438	178	63	-225.1624755859375	0
82	rev	158	49	-170.73861694335938	158	49	-181.15216064453125	0
83	rev	105	36	-126.7083969116211	105	36	-122.8760986328125	0
84	rev	115	36	-130.41265869140625	115	36	-125.76496887207031	0
85	rev	144	55	-181.5006103515625	144	55	-188.22325134277344	0
86	rev	189	65	-214.982666015625	189	65	-193.4779052734375	0
87	rev	100	40	-136.69688415527344	100	40	-136.52037048339844	0
88	rev	129	43	-139.0612030029297	129	43	-139.8697509765625	0
89	rev	194	60	-204.9332275390625	194	60	-202.6333770751953	0
90	rev	208	66	-213.1156005859375	208	66	-218.65350341796875	0
91	rev	128	41	-159.73593139648438	128	41	-160.10549926757812	0
92	rev	128	40	-134.4037322998047	128	40	-134.3296356201172	0
93	rev	129	41	-146.06961059570312	129	41	-148.12718200683594	0
94	rev	105	38	-132.63812255859375	105	38	-121.7512435913086	0
95	rev	152	53	-160.681884765625	152	53	-166.20550537109375	0
96	rev	92	29	-102.52957153320312	92	29	-96.33775329589844	0
97	rev	105	34	-123.09053802490234	105	34	-127.61660766601562	0
98	rev	122	43	-147.33213806152344	122	43	-139.77810668945312	0
99	rev	133	48	-143.16989135742188	133	48	-148.83151245117188	0
