index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
42	rev	119	27	-133.89610290527344	119	27	-132.50033569335938	0
43	rev	163	40	-180.58721923828125	163	40	-175.2759552001953	0
44	rev	168	38	-183.4883270263672	168	37	-185.74464416503906	0
45	rev	107	26	-132.23574829101562	107	28	-135.50892639160156	0
46	rev	98	22	-113.8587875366211	98	22	-104.89716339111328	0
47	rev	101	22	-117.19314575195312	101	23	-121.11767578125	0
48	rev	124	29	-135.49859619140625	124	29	-131.98646545410156	0
49	rev	204	46	-226.2564239501953	204	46	-209.04466247558594	0
50	rev	145	33	-150.7604522705078	145	33	-144.230224609375	0
51	rev	134	28	-152.71853637695312	134	28	-146.400634765625	0
52	rev	182	40	-178.061279296875	182	40	-171.818359375	0
53	rev	199	48	-226.46585083007812	199	49	-233.7074737548828	0
54	rev	99	24	-121.29706573486328	99	24	-123.45710754394531	0
55	rev	112	27	-141.90658569335938	112	28	-133.5289764404297	0
56	rev	99	24	-126.6588363647461	99	24	-114.02173614501953	0
57	rev	101	23	-112.56201934814453	101	23	-118.9626693725586	1
58	rev	89	23	-97.5777587890625	89	22	-103.21253967285156	0
59	rev	165	37	-178.60328674316406	165	36	-183.8537139892578	0
60	rev	101	25	-141.49197387695312	101	27	-148.67709350585938	0
61	rev	152	32	-157.56126403808594	152	33	-150.98126220703125	0
62	rev	93	24	-122.75965118408203	93	23	-123.4395751953125	0
63	rev	155	40	-184.57664489746094	155	40	-179.45138549804688	0
64	rev	176	46	-218.14541625976562	176	46	-205.66268920898438	0
65	rev	142	35	-169.137451171875	142	34	-158.48748779296875	0
66	rev	138	28	-140.42938232421875	138	28	-140.82284545898438	0
67	rev	156	34	-167.20010375976562	156	34	-160.91461181640625	0
68	rev	182	42	-201.644775390625	182	43	-204.00079345703125	0
69	rev	126	29	-146.46055603027344	126	29	-146.78692626953125	0
70	rev	116	28	-132.2886199951172	116	29	-136.5789337158203	0
71	rev	167	41	-196.9936981201172	167	40	-199.89260864257812	0
72	rev	193	43	-215.2674102783203	193	44	-208.9423065185547	0
73	rev	193	47	-218.55287170410156	193	46	-217.5967559814453	0
74	rev	145	39	-183.02471923828125	145	40	-189.13253784179688	0
75	rev	116	30	-134.330322265625	116	31	-138.4244384765625	0
76	rev	116	28	-139.14964294433594	116	27	-138.85882568359375	0
77	rev	197	49	-230.0193634033203	197	49	-218.38743591308594	0
78	rev	135	29	-143.1625213623047	135	30	-152.15382385253906	0
79	rev	150	35	-177.99658203125	150	36	-174.1570587158203	0
80	rev	125	29	-150.3054962158203	125	28	-134.57229614257812	0
81	rev	178	46	-211.65390014648438	178	46	-225.1624755859375	0
82	rev	158	36	-170.73861694335938	158	35	-181.15216064453125	0
83	rev	105	24	-126.7083969116211	105	23	-122.8760986328125	0
84	rev	115	23	-130.41265869140625	115	24	-125.76496887207031	0
85	rev	144	39	-181.5006103515625	144	39	-188.22325134277344	0
86	rev	189	49	-214.982666015625	189	49	-193.4779052734375	0
87	rev	100	26	-136.69688415527344	100	26	-136.52037048339844	0
88	rev	129	31	-139.0612030029297	129	32	-139.8697509765625	0
89	rev	194	43	-204.9332275390625	194	42	-202.6333770751953	0
90	rev	208	51	-213.1156005859375	208	51	-218.65350341796875	0
91	rev	128	33	-159.73593139648438	128	32	-160.10549926757812	0
92	rev	128	28	-134.4037322998047	128	27	-134.3296356201172	1
93	rev	129	31	-146.06961059570312	129	31	-148.12718200683594	0
94	rev	105	24	-132.63812255859375	105	25	-121.7512435913086	1
95	rev	152	34	-160.681884765625	152	35	-166.20550537109375	0
96	rev	92	19	-102.52957153320312	92	19	-96.33775329589844	0
97	rev	105	23	-123.09053802490234	105	23	-127.61660766601562	0
98	rev	122	31	-147.33213806152344	122	30	-139.77810668945312	0
99	rev	133	30	-143.16989135742188	133	29	-148.83151245117188	1
